STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL
22579,JPMorgan Funds - Latin America Equity Fund A (dist) - USD,LU0053687314,USD,true,zh_TW,2024-04-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR04SNN&documenttype=76&market=1447&investmenttype=1&frame=0
22579,JPMorgan Funds - Latin America Equity Fund A (dist) - USD,LU0053687314,USD,true,en,2024-04-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR04SNN&documenttype=76&market=1447&investmenttype=1&frame=0
22701,LYXOR China A Fund,KYG0081Y3087,USD,false,zh_CN,2015-04-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=446&investmentid=F0HKG0711O&documenttype=76&market=1447&investmenttype=1&frame=0
22701,LYXOR China A Fund,KYG0081Y3087,USD,false,zh_TW,2016-04-29 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0HKG0711O&documenttype=76&market=1447&investmenttype=1&frame=0
22701,LYXOR China A Fund,KYG0081Y3087,USD,false,en,2016-04-29 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0HKG0711O&documenttype=76&market=1447&investmenttype=1&frame=0
51164,BNP Paribas Funds Emerging Bond Opportunities Classic MD Distribution,LU0823389779,USD,true,zh_CN,2014-12-24 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=446&investmentid=F00000PXD3&documenttype=76&market=1447&investmenttype=1&frame=0
51164,BNP Paribas Funds Emerging Bond Opportunities Classic MD Distribution,LU0823389779,USD,true,zh_TW,2024-07-10 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000PXD3&documenttype=76&market=1447&investmenttype=1&frame=0
51164,BNP Paribas Funds Emerging Bond Opportunities Classic MD Distribution,LU0823389779,USD,true,en,2024-07-11 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000PXD3&documenttype=76&market=1447&investmenttype=1&frame=0
22905,PIMCO GIS Global Investment Grade Credit Fund E Class USD Income,IE00B2R34T20,USD,true,zh_TW,2024-08-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000001V8Z&documenttype=76&market=1447&investmenttype=1&frame=0
22905,PIMCO GIS Global Investment Grade Credit Fund E Class USD Income,IE00B2R34T20,USD,true,zh_TW,2018-10-09 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000001V8Z&documenttype=76&market=1444&investmenttype=1&frame=0
22905,PIMCO GIS Global Investment Grade Credit Fund E Class USD Income,IE00B2R34T20,USD,true,zh_TW,2018-10-09 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000001V8Z&documenttype=76&market=1452&investmenttype=1&frame=0
22905,PIMCO GIS Global Investment Grade Credit Fund E Class USD Income,IE00B2R34T20,USD,true,en,2024-08-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000001V8Z&documenttype=76&market=1447&investmenttype=1&frame=0
22905,PIMCO GIS Global Investment Grade Credit Fund E Class USD Income,IE00B2R34T20,USD,true,en,2018-10-09 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000001V8Z&documenttype=76&market=1444&investmenttype=1&frame=0
