STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL,Date from ecura DB,Status as of 21/9/2024,Days since last updated in TTS DB,Days since last updated from PDF File
22579,JPMorgan Funds - Latin America Equity Fund A (dist) - USD,LU0053687314,USD,True,zh_TW,2024-04-30,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR04SNN&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,144
22579,JPMorgan Funds - Latin America Equity Fund A (dist) - USD,LU0053687314,USD,True,en,2024-04-30,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR04SNN&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,144
22701,LYXOR China A Fund,KYG0081Y3087,USD,False,zh_CN,2015-04-30,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=446&investmentid=F0HKG0711O&documenttype=76&market=1447&investmenttype=1&frame=0,2016-04-01,date is not updated in fund universe,3095.0,3432
22701,LYXOR China A Fund,KYG0081Y3087,USD,False,zh_TW,2016-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0HKG0711O&documenttype=76&market=1447&investmenttype=1&frame=0,2016-04-01,Up to date,3095.0,3067
22701,LYXOR China A Fund,KYG0081Y3087,USD,False,en,2016-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0HKG0711O&documenttype=76&market=1447&investmenttype=1&frame=0,2016-04-01,Up to date,3095.0,3067
51164,BNP Paribas Funds Emerging Bond Opportunities Classic MD Distribution,LU0823389779,USD,True,zh_CN,2014-12-24,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=446&investmentid=F00000PXD3&documenttype=76&market=1447&investmenttype=1&frame=0,2024-07-01,date is not updated in fund universe,82.0,3559
51164,BNP Paribas Funds Emerging Bond Opportunities Classic MD Distribution,LU0823389779,USD,True,zh_TW,2024-07-10,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000PXD3&documenttype=76&market=1447&investmenttype=1&frame=0,2024-07-01,Up to date,82.0,73
51164,BNP Paribas Funds Emerging Bond Opportunities Classic MD Distribution,LU0823389779,USD,True,en,2024-07-11,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000PXD3&documenttype=76&market=1447&investmenttype=1&frame=0,2024-07-01,Up to date,82.0,72
22905,PIMCO GIS Global Investment Grade Credit Fund E Class USD Income,IE00B2R34T20,USD,True,zh_TW,2024-08-30,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000001V8Z&documenttype=76&market=1447&investmenttype=1&frame=0,2024-03-01,Outdated,204.0,22
22905,PIMCO GIS Global Investment Grade Credit Fund E Class USD Income,IE00B2R34T20,USD,True,zh_TW,2018-10-09,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000001V8Z&documenttype=76&market=1444&investmenttype=1&frame=0,2024-03-01,date is not updated in fund universe,204.0,2174
22905,PIMCO GIS Global Investment Grade Credit Fund E Class USD Income,IE00B2R34T20,USD,True,zh_TW,2018-10-09,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000001V8Z&documenttype=76&market=1452&investmenttype=1&frame=0,2024-03-01,date is not updated in fund universe,204.0,2174
