ISIN,Strategy Key,Language,Fund Name,Currency,Last Updated Date,Text
IE00BVFNXS90,738399,en,(AMF)FRANKLIN FLOATING RATE PLC - A (DIS) RMB-H1,RMB,2025-05-04 13:15:19,April 2025
IE00BVFNXS90,738399,zh-HK,(AMF)FRANKLIN FLOATING RATE PLC - A (DIS) RMB-H1,RMB,2025-05-04 13:15:19,
IE00BVFNXS90,738399,zh-CN,(AMF)FRANKLIN FLOATING RATE PLC - A (DIS) RMB-H1,RMB,2025-05-04 13:15:19,
HK0000258274,344863,en,AB (HK) American Income Portfolio Class A2 Acc RMB H,CNH,2025-04-30 04:46:48,February 2025
HK0000258274,344863,zh-HK,AB (HK) American Income Portfolio Class A2 Acc RMB H,CNH,2025-04-30 04:46:48,
HK0000258274,344863,zh-CN,AB (HK) American Income Portfolio Class A2 Acc RMB H,CNH,2025-04-30 04:46:48,
HK0000329588,344603,en,AB (HK) American Income Portfolio Class A2 USD Acc,USD,2025-04-30 04:46:48,February 2025
HK0000329588,344603,zh-HK,AB (HK) American Income Portfolio Class A2 USD Acc,USD,2025-04-30 04:46:48,
HK0000329588,344603,zh-CN,AB (HK) American Income Portfolio Class A2 USD Acc,USD,2025-04-30 04:46:48,
HK0000258266,344864,en,AB (HK) American Income Portfolio Class AA RMB H,CNH,2025-04-30 04:46:48,February 2025
HK0000258266,344864,zh-HK,AB (HK) American Income Portfolio Class AA RMB H,CNH,2025-04-30 04:46:48,
HK0000258266,344864,zh-CN,AB (HK) American Income Portfolio Class AA RMB H,CNH,2025-04-30 04:46:48,
HK0000258290,363231,en,AB (HK) European Income Portfolio Class A2 RMB H,CNH,2025-04-30 04:47:22,February 2025
HK0000258290,363231,zh-HK,AB (HK) European Income Portfolio Class A2 RMB H,CNH,2025-04-30 04:47:22,
HK0000258290,363231,zh-CN,AB (HK) European Income Portfolio Class A2 RMB H,CNH,2025-04-30 04:47:22,
HK0000258282,363220,en,AB (HK) European Income Portfolio Class AA RMB H,CNH,2025-04-30 04:47:22,February 2025
