STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL,Date from ecura DB,Status as of 2026-02-04 21:52:13.659707,Days since last updated in TTS DB,Days since last updated from PDF File
22997,Schroder International Selection Fund Global Multi-Asset Income A Accumulation GBP Hedged,LU0903425840,GBP,1,zh_TW,2025-07-18,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000PSSM&documenttype=76&market=1447&investmenttype=1&frame=0,2025-07-01,Up to date,218,201
22997,Schroder International Selection Fund Global Multi-Asset Income A Accumulation GBP Hedged,LU0903425840,GBP,1,en,2025-07-18,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000PSSM&documenttype=76&market=1447&investmenttype=1&frame=0,2025-07-01,Up to date,218,201
773871,Franklin U.S. Government Fund A(Mdis)RMB-H1,LU2761367395,CNY,1,zh_TW,2025-04-25,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00001JKXU&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,285
773871,Franklin U.S. Government Fund A(Mdis)RMB-H1,LU2761367395,CNY,1,en,2025-04-25,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00001JKXU&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,285
45283,BlackRock Global Funds - European Fund A2 HKD Hedged,LU0788108743,HKD,1,zh_TW,2025-04-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000ODMI&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,309
45283,BlackRock Global Funds - European Fund A2 HKD Hedged,LU0788108743,HKD,1,en,2025-04-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000ODMI&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,309
45297,Schroder International Selection Fund Global Multi-Asset Income A Distribution AUD Hedged,LU0911024122,AUD,1,zh_TW,2025-07-18,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000PRI9&documenttype=76&market=1447&investmenttype=1&frame=0,2025-07-01,Up to date,218,201
45297,Schroder International Selection Fund Global Multi-Asset Income A Distribution AUD Hedged,LU0911024122,AUD,1,en,2025-07-18,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000PRI9&documenttype=76&market=1447&investmenttype=1&frame=0,2025-07-01,Up to date,218,201
9158,Schroder International Selection Fund Global Emerging Market Opportunities A Accumulation USD,LU0269904917,USD,1,zh_TW,2026-01-19,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0000002PO&documenttype=76&market=1447&investmenttype=1&frame=0,2025-07-01,Outdated,218,16
9158,Schroder International Selection Fund Global Emerging Market Opportunities A Accumulation USD,LU0269904917,USD,1,en,2026-01-22,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0000002PO&documenttype=76&market=1447&investmenttype=1&frame=0,2025-07-01,Outdated,218,13
8926,Schroder International Selection Fund Asian Bond Total Return A Accumulation USD,LU0106250508,USD,1,zh_TW,2025-07-18,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR04ACT&documenttype=76&market=1447&investmenttype=1&frame=0,2025-07-01,Up to date,218,201
8926,Schroder International Selection Fund Asian Bond Total Return A Accumulation USD,LU0106250508,USD,1,en,2025-07-18,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR04ACT&documenttype=76&market=1447&investmenttype=1&frame=0,2025-07-01,Up to date,218,201
50507,Fidelity Funds - Asian Bond Fund A-HMDIST(G)-AUD (hedged),LU1371569549,AUD,1,zh_TW,2025-08-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000WYQS&documenttype=76&market=1447&investmenttype=1&frame=0,2025-08-01,Up to date,187,159
50507,Fidelity Funds - Asian Bond Fund A-HMDIST(G)-AUD (hedged),LU1371569549,AUD,1,en,2025-08-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000WYQS&documenttype=76&market=1447&investmenttype=1&frame=0,2025-08-01,Up to date,187,159
36640,Barings International Umbrella Fund - Barings Australia Fund Class A AUD Inc,IE00B3YQ9180,AUD,1,zh_TW,2025-04-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000412Q&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,309
36640,Barings International Umbrella Fund - Barings Australia Fund Class A AUD Inc,IE00B3YQ9180,AUD,1,en,2025-04-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000412Q&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,309
753614,Allianz Thematic Income Fund AMg (H2-GBP),HK0000726296,GBP,1,zh_TW,2025-04-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0000175FX&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,309
753614,Allianz Thematic Income Fund AMg (H2-GBP),HK0000726296,GBP,1,en,2025-04-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0000175FX&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,309
13725,BlackRock Global Funds - US Dollar Reserve Fund Hedged A2 GBP,LU0297945965,GBP,1,zh_TW,2025-04-30,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR04ASM&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,280
13725,BlackRock Global Funds - US Dollar Reserve Fund Hedged A2 GBP,LU0297945965,GBP,1,en,2025-04-30,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR04ASM&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,280
9170,Fidelity Funds - Asian High Yield Fund A-Acc-EUR,LU0286668966,EUR,1,zh_TW,2025-11-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0000007H4&documenttype=76&market=1447&investmenttype=1&frame=0,2025-11-01,Up to date,95,95
9170,Fidelity Funds - Asian High Yield Fund A-Acc-EUR,LU0286668966,EUR,1,en,2025-11-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0000007H4&documenttype=76&market=1447&investmenttype=1&frame=0,2025-11-01,Up to date,95,95
694499,PIMCO GIS Income Fund E Class JPY (Hedged) Income,IE000WYGJ8R2,JPY,1,zh_TW,2025-11-27,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00001EVTF&documenttype=76&market=1447&investmenttype=1&frame=0,2025-11-01,Up to date,95,69
694499,PIMCO GIS Income Fund E Class JPY (Hedged) Income,IE000WYGJ8R2,JPY,1,en,2025-11-27,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00001EVTF&documenttype=76&market=1447&investmenttype=1&frame=0,2025-11-01,Up to date,95,69
27478,BlackRock Global Funds - India Fund A2,LU0248271941,EUR,1,zh_TW,2022-04-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=0P0000VHLK&documenttype=76&market=1447&investmenttype=130&frame=0,2024-04-01,date is not updated in fund universe,674,1405
27478,BlackRock Global Funds - India Fund A2,LU0248271941,EUR,1,en,2022-04-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=0P0000VHLK&documenttype=76&market=1447&investmenttype=130&frame=0,2024-04-01,date is not updated in fund universe,674,1405
34444,Invesco Funds - Invesco Asia Consumer Demand Fund A Semi-annual Distribution USD,LU0334857199,USD,1,zh_TW,2025-04-30,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000000R1F&documenttype=76&market=1447&investmenttype=1&frame=0,2025-04-01,Up to date,309,280
