Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
269064,LU1934456168,1/8/2023,1/4/2024,367,123,YES
269062,LU2056362853,1/8/2023,1/4/2024,367,123,YES
268929,LU2056363075,1/8/2023,1/4/2024,367,123,YES
268930,LU2056362937,1/8/2023,1/4/2024,367,123,YES
268925,LU1934455947,1/8/2023,1/4/2024,367,123,YES
268928,LU1934455608,1/8/2023,1/4/2024,367,123,YES
269063,LU2056362770,1/8/2023,1/4/2024,367,123,YES
226944,LU1934455277,1/8/2023,1/4/2024,367,123,YES
268926,LU1934455863,1/8/2023,1/4/2024,367,123,YES
269061,LU2056362424,1/8/2023,1/4/2024,367,123,YES
269065,LU1934456085,1/8/2023,1/4/2024,367,123,YES
226943,LU1934455194,1/8/2023,1/4/2024,367,123,YES
268927,LU1934455780,1/8/2023,1/4/2024,367,123,YES
344603,HK0000329588,1/2/2024,1/2/2024,183,183,NO
344863,,1/2/2024,Date not found in the paragraph,183,,NO
344864,HK0000258266,1/2/2024,1/2/2024,183,183,NO
363220,HK0000258282,1/2/2024,1/2/2024,183,183,NO
363231,HK0000258290,1/2/2024,1/2/2024,183,183,NO
36576,LU0539799634,1/3/2024,1/3/2024,154,154,NO
45313,LU0971552913,1/6/2023,1/7/2024,428,32,YES
45781,LU0971552830,1/6/2023,1/7/2024,428,32,YES
29587,LU0971552673,1/6/2023,1/7/2024,428,32,YES
45719,LU0971552756,1/6/2023,1/7/2024,428,32,YES
20964,LU0706718086,1/9/2023,1/7/2024,336,32,YES
45730,LU0706718755,1/9/2023,1/7/2024,336,32,YES
45776,LU0790109010,1/9/2023,1/7/2024,336,32,YES
45855,LU0774780943,1/9/2023,1/7/2024,336,32,YES
42983,LU0745992734,1/9/2023,1/7/2024,336,32,YES
45731,LU0706718243,1/9/2023,1/7/2024,336,32,YES
20965,LU0745992494,1/9/2023,1/7/2024,336,32,YES
27321,LU0342688198,1/8/2021,1/8/2021,1097,1097,NO
16510,LU0342689089,1/8/2021,1/8/2021,1097,1097,NO
109224,LU1720051108,1/4/2024,1/4/2024,123,123,NO
96454,LU1548497426,1/4/2024,1/4/2024,123,123,NO
109240,LU1548497699,1/4/2024,1/4/2024,123,123,NO
42957,LU0342679015,1/9/2023,1/7/2024,336,32,YES
25311,LU0348723411,1/9/2023,1/7/2024,336,32,YES
16511,LU0634319403,1/9/2023,1/4/2024,336,123,YES
16535,LU0348735423,1/9/2023,1/4/2024,336,123,YES
36635,LU0540923850,1/9/2023,1/4/2024,336,123,YES
20966,LU0820561818,1/4/2024,1/7/2024,123,32,YES
750364,LU2756315581,1/4/2024,1/7/2024,123,32,YES
42565,LU0913601281,1/4/2024,1/7/2024,123,32,YES
