Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
45313,LU0971552913,01/06/2023,01/07/2024,428,32,YES
45781,LU0971552830,01/06/2023,01/07/2024,428,32,YES
29587,LU0971552673,01/06/2023,01/07/2024,428,32,YES
45719,LU0971552756,01/06/2023,01/07/2024,428,32,YES
20964,LU0706718086,01/09/2023,01/07/2024,336,32,YES
45730,LU0706718755,01/09/2023,01/07/2024,336,32,YES
45776,LU0790109010,01/09/2023,01/07/2024,336,32,YES
45855,LU0774780943,01/09/2023,01/07/2024,336,32,YES
42983,LU0745992734,01/09/2023,01/07/2024,336,32,YES
45731,LU0706718243,01/09/2023,01/07/2024,336,32,YES
20965,LU0745992494,01/09/2023,01/07/2024,336,32,YES
27321,LU0342688198,01/08/2021,01/08/2021,1097,1097,NO
16510,LU0342689089,01/08/2021,01/08/2021,1097,1097,NO
109224,LU1720051108,01/04/2024,01/04/2024,123,123,NO
96454,LU1548497426,01/04/2024,01/04/2024,123,123,NO
109240,LU1548497699,01/04/2024,01/04/2024,123,123,NO
42957,LU0342679015,01/09/2023,01/07/2024,336,32,YES
25311,LU0348723411,01/09/2023,01/07/2024,336,32,YES
16511,LU0634319403,01/09/2023,01/04/2024,336,123,YES
16535,LU0348735423,01/09/2023,01/04/2024,336,123,YES
36635,LU0540923850,01/09/2023,01/04/2024,336,123,YES
20966,LU0820561818,01/04/2024,01/07/2024,123,32,YES
750364,LU2756315581,01/04/2024,01/07/2024,123,32,YES
42565,LU0913601281,01/04/2024,01/07/2024,123,32,YES
725549,LU2643317659,01/04/2024,01/07/2024,123,32,YES
42923,LU0820562386,01/04/2024,01/07/2024,123,32,YES
45529,LU0820562113,01/04/2024,01/07/2024,123,32,YES
24741,N/A,01/04/2024,Date not found in the paragraph,123,N/A,YES
311165,LU2213496289,01/04/2024,01/07/2024,123,32,YES
750365,LU2756315409,01/04/2024,01/07/2024,123,32,YES
24822,LU0820561909,01/04/2024,01/07/2024,123,32,YES
45741,N/A,01/04/2024,Date not found in the paragraph,123,N/A,YES
45319,LU0994605391,01/04/2024,01/07/2024,123,32,YES
45290,N/A,01/04/2024,Date not found in the paragraph,123,N/A,YES
197268,LU1861127170,01/04/2024,01/07/2024,123,32,YES
16524,LU0348744763,01/02/2024,01/07/2024,183,32,YES
16525,LU0348751388,01/06/2023,01/04/2024,428,123,YES
16536,N/A,01/04/2022,Date not found in the paragraph,854,N/A,YES
16512,LU0348766576,01/09/2023,01/04/2024,336,123,YES
16513,LU0348783233,01/09/2023,01/04/2024,336,123,YES
36636,LU0348786921,01/09/2023,01/04/2024,336,123,YES
