Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
269064,LU1934456168,01/08/2023,01/04/2024,367.0,123.0,YES
269062,LU2056362853,01/08/2023,01/04/2024,367.0,123.0,YES
268929,LU2056363075,01/08/2023,01/04/2024,367.0,123.0,YES
268930,LU2056362937,01/08/2023,01/04/2024,367.0,123.0,YES
268925,LU1934455947,01/08/2023,01/04/2024,367.0,123.0,YES
268928,LU1934455608,01/08/2023,01/04/2024,367.0,123.0,YES
269063,LU2056362770,01/08/2023,01/04/2024,367.0,123.0,YES
226944,LU1934455277,01/08/2023,01/04/2024,367.0,123.0,YES
268926,LU1934455863,01/08/2023,01/04/2024,367.0,123.0,YES
269061,LU2056362424,01/08/2023,01/04/2024,367.0,123.0,YES
269065,LU1934456085,01/08/2023,01/04/2024,367.0,123.0,YES
226943,LU1934455194,01/08/2023,01/04/2024,367.0,123.0,YES
268927,LU1934455780,01/08/2023,01/04/2024,367.0,123.0,YES
344603,HK0000329588,01/02/2024,01/02/2024,183.0,183.0,NO
344863,,01/02/2024,Date not found in the paragraph,183.0,,NO
344864,HK0000258266,01/02/2024,01/02/2024,183.0,183.0,NO
363220,HK0000258282,01/02/2024,01/02/2024,183.0,183.0,NO
363231,HK0000258290,01/02/2024,01/02/2024,183.0,183.0,NO
36576,LU0539799634,01/03/2024,01/03/2024,154.0,154.0,NO
45313,LU0971552913,01/06/2023,01/07/2024,428.0,32.0,YES
45781,LU0971552830,01/06/2023,01/07/2024,428.0,32.0,YES
29587,LU0971552673,01/06/2023,01/07/2024,428.0,32.0,YES
45719,LU0971552756,01/06/2023,01/07/2024,428.0,32.0,YES
20964,LU0706718086,01/09/2023,01/07/2024,336.0,32.0,YES
45730,LU0706718755,01/09/2023,01/07/2024,336.0,32.0,YES
45776,LU0790109010,01/09/2023,01/07/2024,336.0,32.0,YES
45855,LU0774780943,01/09/2023,01/07/2024,336.0,32.0,YES
42983,LU0745992734,01/09/2023,01/07/2024,336.0,32.0,YES
45731,LU0706718243,01/09/2023,01/07/2024,336.0,32.0,YES
20965,LU0745992494,01/09/2023,01/07/2024,336.0,32.0,YES
27321,LU0342688198,01/08/2021,01/08/2021,1097.0,1097.0,NO
16510,LU0342689089,01/08/2021,01/08/2021,1097.0,1097.0,NO
109224,LU1720051108,01/04/2024,01/04/2024,123.0,123.0,NO
96454,LU1548497426,01/04/2024,01/04/2024,123.0,123.0,NO
109240,LU1548497699,01/04/2024,01/04/2024,123.0,123.0,NO
42957,LU0342679015,01/09/2023,01/07/2024,336.0,32.0,YES
25311,LU0348723411,01/09/2023,01/07/2024,336.0,32.0,YES
16511,LU0634319403,01/09/2023,01/04/2024,336.0,123.0,YES
16535,LU0348735423,01/09/2023,01/04/2024,336.0,123.0,YES
36635,LU0540923850,01/09/2023,01/04/2024,336.0,123.0,YES
20966,LU0820561818,01/04/2024,01/07/2024,123.0,32.0,YES
750364,LU2756315581,01/04/2024,01/07/2024,123.0,32.0,YES
42565,LU0913601281,01/04/2024,01/07/2024,123.0,32.0,YES
725549,LU2643317659,01/04/2024,01/07/2024,123.0,32.0,YES
42923,LU0820562386,01/04/2024,01/07/2024,123.0,32.0,YES
45529,LU0820562113,01/04/2024,01/07/2024,123.0,32.0,YES
24741,,01/04/2024,Date not found in the paragraph,123.0,,YES
311165,LU2213496289,01/04/2024,01/07/2024,123.0,32.0,YES
750365,LU2756315409,01/04/2024,01/07/2024,123.0,32.0,YES
24822,LU0820561909,01/04/2024,01/07/2024,123.0,32.0,YES
45741,,01/04/2024,Date not found in the paragraph,123.0,,YES
45319,LU0994605391,01/04/2024,01/07/2024,123.0,32.0,YES
45290,,01/04/2024,Date not found in the paragraph,123.0,,YES
197268,LU1861127170,01/04/2024,01/07/2024,123.0,32.0,YES
16524,LU0348744763,01/02/2024,01/07/2024,183.0,32.0,YES
16525,LU0348751388,01/06/2023,01/04/2024,428.0,123.0,YES
16536,,01/04/2022,Date not found in the paragraph,854.0,,YES
16512,LU0348766576,01/09/2023,01/04/2024,336.0,123.0,YES
16513,LU0348783233,01/09/2023,01/04/2024,336.0,123.0,YES
36636,LU0348786921,01/09/2023,01/04/2024,336.0,123.0,YES
752979,HK0000726221,01/02/2024,01/02/2024,183.0,183.0,NO
752980,HK0000726270,01/02/2024,01/02/2024,183.0,183.0,NO
752978,HK0000726239,01/02/2024,01/02/2024,183.0,183.0,NO
753612,HK0000726254,01/02/2024,01/02/2024,183.0,183.0,NO
753613,HK0000726288,01/02/2024,01/02/2024,183.0,183.0,NO
753611,HK0000726262,01/02/2024,01/02/2024,183.0,183.0,NO
753614,HK0000726296,01/02/2024,01/02/2024,183.0,183.0,NO
45728,HK0000211901,01/02/2024,01/02/2024,183.0,183.0,NO
16544,LU0348798264,01/04/2022,01/04/2022,854.0,854.0,NO
231883,LU1479563717,01/09/2023,01/04/2024,336.0,123.0,YES
339433,LU2106854487,01/09/2023,01/04/2024,336.0,123.0,YES
206042,LU1917777945,01/09/2023,01/04/2024,336.0,123.0,YES
339434,LU2014482397,01/09/2023,01/04/2024,336.0,123.0,YES
210074,,01/09/2023,Date not found in the paragraph,336.0,,YES
206043,LU1974910355,01/09/2023,01/04/2024,336.0,123.0,YES
33229,LU0348805143,01/09/2023,01/04/2024,336.0,123.0,YES
16539,LU0348814723,01/09/2023,01/04/2024,336.0,123.0,YES
16545,LU0348816934,01/09/2023,01/04/2024,336.0,123.0,YES
45629,LU0918141887,01/09/2023,01/04/2024,336.0,123.0,YES
45820,LU0918141705,01/09/2023,01/04/2024,336.0,123.0,YES
45630,LU0918147579,01/09/2023,01/04/2024,336.0,123.0,YES
118796,LU1366192091,01/04/2023,01/04/2024,489.0,123.0,YES
45841,LU0674994503,01/04/2023,01/07/2024,489.0,32.0,YES
20968,LU0676280802,01/04/2023,01/07/2024,489.0,32.0,YES
20967,LU0649033221,01/04/2023,01/07/2024,489.0,32.0,YES
16547,LU0516397667,01/04/2023,01/07/2024,489.0,32.0,YES
36638,LU0648978533,01/04/2023,01/07/2024,489.0,32.0,YES
45812,LU0788519618,01/04/2023,01/07/2024,489.0,32.0,YES
36639,LU0765755177,01/04/2023,01/07/2024,489.0,32.0,YES
16546,LU0674994412,01/04/2023,01/07/2024,489.0,32.0,YES
36637,LU0676280711,01/04/2023,01/07/2024,489.0,32.0,YES
45526,LU0676280554,01/04/2023,01/07/2024,489.0,32.0,YES
61031,LU1322973634,01/06/2023,01/07/2024,428.0,32.0,YES
61032,LU1328247892,01/06/2023,01/07/2024,428.0,32.0,YES
61035,LU1516272181,01/06/2023,01/07/2024,428.0,32.0,YES
61033,LU1449865044,01/06/2023,01/07/2024,428.0,32.0,YES
61034,,01/06/2023,Date not found in the paragraph,428.0,,YES
332508,LU2257995394,01/02/2024,01/07/2024,183.0,32.0,YES
332511,LU2257995121,01/02/2024,01/07/2024,183.0,32.0,YES
629539,LU2257996368,01/02/2024,01/07/2024,183.0,32.0,YES
319622,LU1560902808,01/02/2024,01/07/2024,183.0,32.0,YES
319622,LU1560902808,Invalid date format in TTS DB,01/07/2024,,32.0,
16532,LU0411150922,01/03/2019,31/03/2019,1981.0,1951.0,NO
33214,,Date not found in the paragraph,Date not found in the paragraph,,,
599791,HK0000847258,01/06/2023,01/04/2024,428.0,123.0,YES
599790,HK0000034162,01/06/2023,01/04/2024,428.0,123.0,YES
602203,HK0000847274,01/06/2023,01/04/2024,428.0,123.0,YES
599798,HK0000847266,01/06/2023,01/04/2024,428.0,123.0,YES
66288,,Date not found in the paragraph,Date not found in the paragraph,,,
66294,,Date not found in the paragraph,Date not found in the paragraph,,,
66293,,Date not found in the paragraph,Date not found in the paragraph,,,
109205,,Date not found in the paragraph,Date not found in the paragraph,,,
66290,,Date not found in the paragraph,Date not found in the paragraph,,,
109259,,Date not found in the paragraph,Date not found in the paragraph,,,
66286,,Date not found in the paragraph,Date not found in the paragraph,,,
66287,,Date not found in the paragraph,Date not found in the paragraph,,,
66285,,Date not found in the paragraph,Date not found in the paragraph,,,
95883,,01/02/2019,Date not found in the paragraph,2009.0,,YES
119150,,01/02/2019,Date not found in the paragraph,2009.0,,YES
95882,,01/02/2019,Date not found in the paragraph,2009.0,,YES
95884,,01/02/2019,Date not found in the paragraph,2009.0,,YES
127692,,01/02/2019,Date not found in the paragraph,2009.0,,YES
95885,,01/02/2019,Date not found in the paragraph,2009.0,,YES
95886,,01/02/2019,Date not found in the paragraph,2009.0,,YES
119180,,01/02/2019,Date not found in the paragraph,2009.0,,YES
108061,,01/02/2019,Date not found in the paragraph,2009.0,,YES
68523,,01/02/2019,Date not found in the paragraph,2009.0,,YES
67923,,01/02/2019,Date not found in the paragraph,2009.0,,YES
68526,,01/02/2019,Date not found in the paragraph,2009.0,,YES
68524,,01/02/2019,Date not found in the paragraph,2009.0,,YES
67927,,01/02/2019,Date not found in the paragraph,2009.0,,YES
68522,,01/02/2019,Date not found in the paragraph,2009.0,,YES
109311,,01/02/2019,Date not found in the paragraph,2009.0,,YES
68528,,01/02/2019,Date not found in the paragraph,2009.0,,YES
68525,,Date not found in the paragraph,Date not found in the paragraph,,,
68527,,Date not found in the paragraph,Date not found in the paragraph,,,
45750,,01/06/2020,Date not found in the paragraph,1523.0,,YES
45735,LU1078738645,01/06/2020,26/06/2020,1523.0,1498.0,NO
45650,LU1078737910,01/06/2020,26/06/2020,1523.0,1498.0,NO
45807,LU1078738306,01/06/2020,26/06/2020,1523.0,1498.0,NO
45791,LU1078738058,01/06/2020,26/06/2020,1523.0,1498.0,NO
45726,LU1078738488,01/06/2020,26/06/2020,1523.0,1498.0,NO
735678,LU2572683147,01/03/2023,01/03/2024,520.0,154.0,YES
18042,,01/03/2023,Date not found in the paragraph,520.0,,YES
44121,LU0265266980,01/03/2023,01/03/2024,520.0,154.0,YES
44121,LU0265266980,01/03/2023,01/03/2024,520.0,154.0,YES
35130,LU0265267285,01/03/2023,01/03/2024,520.0,154.0,YES
93549,LU0823389936,01/03/2023,10/07/2024,520.0,23.0,YES
129247,LU1789408728,01/03/2023,10/07/2024,520.0,23.0,YES
51164,LU0823389779,01/03/2023,10/07/2024,520.0,23.0,YES
129249,,01/03/2023,Date not found in the paragraph,520.0,,YES
18028,LU0823389852,01/03/2023,10/07/2024,520.0,23.0,YES
129254,LU1789408561,01/03/2023,10/07/2024,520.0,23.0,YES
311281,LU1596579901,01/04/2021,01/04/2021,1219.0,1219.0,NO
311284,LU1596579067,01/04/2021,01/04/2021,1219.0,1219.0,NO
311282,LU1596579653,01/04/2021,01/04/2021,1219.0,1219.0,NO
311283,LU1596579224,01/04/2021,01/04/2021,1219.0,1219.0,NO
311280,LU1596579570,01/04/2021,01/04/2021,1219.0,1219.0,NO
311279,LU1596580313,01/04/2021,01/04/2021,1219.0,1219.0,NO
45732,LU0823432611,01/03/2023,01/03/2024,520.0,154.0,YES
45539,IE0003852799,01/04/2023,22/04/2024,489.0,102.0,YES
16693,IE0000830459,01/04/2020,01/04/2020,1584.0,1584.0,NO
16678,IE0032149506,01/09/2023,30/04/2024,336.0,94.0,YES
33473,IE0004850503,01/09/2023,30/04/2024,336.0,94.0,YES
10567,IE0000838304,01/09/2023,30/04/2024,336.0,94.0,YES
8326,,01/09/2023,Date not found in the paragraph,336.0,,YES
8325,IE0004851022,01/09/2023,30/04/2024,336.0,94.0,YES
16672,GB0000796242,01/07/2023,30/04/2024,398.0,94.0,YES
16671,GB0030655780,01/07/2023,30/04/2024,398.0,94.0,YES
16673,GB0000804335,01/04/2023,30/04/2024,489.0,94.0,YES
16674,,01/04/2023,Date not found in the paragraph,489.0,,YES
20985,GB0008192063,01/04/2023,30/04/2024,489.0,94.0,YES
16655,IE00B237VG42,01/05/2021,01/05/2021,1189.0,1189.0,NO
16656,IE0030165983,01/05/2021,01/05/2021,1189.0,1189.0,NO
36646,IE00B62P4Q86,01/04/2024,30/04/2024,123.0,94.0,NO
33475,IE0032158341,01/04/2024,30/04/2024,123.0,94.0,NO
10568,IE0000835953,01/04/2024,30/04/2024,123.0,94.0,NO
16684,IE0033156484,01/04/2024,30/04/2024,123.0,94.0,NO
25486,IE0032158457,01/04/2024,30/04/2024,123.0,94.0,NO
15213,IE0004851808,01/04/2024,30/04/2024,123.0,94.0,NO
8323,IE0000805634,01/09/2023,30/04/2024,336.0,94.0,YES
36641,,01/09/2023,Date not found in the paragraph,336.0,,YES
8322,IE0004852103,01/09/2023,30/04/2024,336.0,94.0,YES
16682,IE0030016244,01/09/2023,30/04/2024,336.0,94.0,YES
16681,IE0030016467,01/09/2023,30/04/2024,336.0,94.0,YES
33474,IE0030016350,01/09/2023,30/04/2024,336.0,94.0,YES
16679,IE0004851352,01/09/2023,30/04/2024,336.0,94.0,YES
16680,IE0000931182,01/09/2023,30/04/2024,336.0,94.0,YES
8319,IE0004868828,01/09/2023,30/04/2024,336.0,94.0,YES
8321,IE0000830236,01/09/2023,30/04/2024,336.0,94.0,YES
8320,IE00B3BC5T90,01/09/2023,30/04/2024,336.0,94.0,YES
16657,IE0004868604,01/09/2023,30/04/2024,336.0,94.0,YES
16659,IE0000830129,01/09/2023,30/04/2024,336.0,94.0,YES
16658,IE0031029477,01/09/2023,30/04/2024,336.0,94.0,YES
36640,IE00B3YQ9180,01/09/2023,30/04/2024,336.0,94.0,YES
33472,IE0004866665,01/09/2023,30/04/2024,336.0,94.0,YES
16660,IE0000829451,01/09/2023,30/04/2024,336.0,94.0,YES
16669,IE0004866772,01/09/2023,30/04/2024,336.0,94.0,YES
16670,IE0000829121,01/09/2023,30/04/2024,336.0,94.0,YES
16688,IE0000829568,01/09/2023,30/04/2024,336.0,94.0,YES
16686,IE0004866996,01/09/2023,30/04/2024,336.0,94.0,YES
20986,IE00B4YN5X00,01/09/2023,30/04/2024,336.0,94.0,YES
36647,IE00B3YQ0H18,01/09/2023,30/04/2024,336.0,94.0,YES
16685,IE0004866889,01/09/2023,30/04/2024,336.0,94.0,YES
8324,IE0000829238,01/09/2023,30/04/2024,336.0,94.0,YES
16689,IE0000838189,01/04/2023,30/04/2024,489.0,94.0,YES
16690,GB0000840719,01/04/2023,30/04/2024,489.0,94.0,YES
307157,LU1852330734,01/09/2023,01/04/2024,336.0,123.0,YES
304719,LU1852331039,01/09/2023,01/04/2024,336.0,123.0,YES
304724,LU2077746340,01/09/2023,01/04/2024,336.0,123.0,YES
304725,LU1963769176,01/09/2023,01/04/2024,336.0,123.0,YES
304721,LU2077746779,01/09/2023,01/04/2024,336.0,123.0,YES
304720,LU1847653141,01/09/2023,01/04/2024,336.0,123.0,YES
304723,,01/09/2023,Date not found in the paragraph,336.0,,YES
214381,LU0679940949,01/09/2023,01/04/2024,336.0,123.0,YES
304718,,01/09/2023,Date not found in the paragraph,336.0,,YES
33503,LU0679941327,01/09/2023,01/04/2024,336.0,123.0,YES
304722,LU2077746696,01/09/2023,01/04/2024,336.0,123.0,YES
111575,LU1564329545,01/04/2024,01/04/2024,123.0,123.0,NO
111574,,01/04/2024,Date not found in the paragraph,123.0,,NO
111569,LU1564329032,01/04/2024,01/04/2024,123.0,123.0,NO
732952,LU2655523236,01/04/2024,01/04/2024,123.0,123.0,NO
111571,LU1564329115,01/04/2024,01/04/2024,123.0,123.0,NO
111572,LU1706154686,01/04/2024,01/04/2024,123.0,123.0,NO
732600,LU2655523319,01/04/2024,01/04/2024,123.0,123.0,NO
111573,LU1733224965,01/04/2024,01/04/2024,123.0,123.0,NO
113186,LU1733225004,01/04/2024,01/04/2024,123.0,123.0,NO
45286,LU0803753879,01/04/2021,01/04/2021,1219.0,1219.0,NO
13743,LU0414403419,01/10/2022,01/10/2022,671.0,671.0,NO
36648,,01/10/2022,Date not found in the paragraph,671.0,,NO
45783,LU0916957664,01/10/2022,01/10/2022,671.0,671.0,NO
36649,LU0414403500,01/10/2022,01/10/2022,671.0,671.0,NO
45507,LU0738912210,01/10/2022,01/10/2022,671.0,671.0,NO
28453,LU0171270639,01/04/2022,01/04/2024,854.0,123.0,YES
8321,IE0000830236,01/09/2023,30/04/2024,336.0,94.0,YES
8320,IE00B3BC5T90,01/09/2023,30/04/2024,336.0,94.0,YES
16657,IE0004868604,01/09/2023,30/04/2024,336.0,94.0,YES
16659,IE0000830129,01/09/2023,30/04/2024,336.0,94.0,YES
16658,IE0031029477,01/09/2023,30/04/2024,336.0,94.0,YES
36640,,01/09/2023,Date not found in the paragraph,336.0,,YES
