Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
33835,LU0251129549,01/08/2023,01/04/2024,368,124,YES
33836,LU0119124278,01/08/2023,01/04/2024,368,124,YES
17109,LU0061175625,01/08/2023,01/04/2024,368,124,YES
13224,LU0048620586,01/08/2023,01/04/2024,368,124,YES
33841,LU0048579410,01/08/2021,31/08/2021,1098,1068,NO
8352,LU0048580004,01/08/2023,01/04/2024,368,124,YES
12159,LU0048582984,01/08/2023,01/04/2024,368,124,YES
17111,LU0114721508,01/01/2024,01/04/2024,215,124,YES
393189,LU1509826696,01/01/2024,01/04/2024,215,124,YES
45725,LU0982800491,01/01/2024,01/04/2024,215,124,YES
25711,LU0772969993,01/01/2024,01/04/2024,215,124,YES
42657,LU0742537680,01/01/2024,01/04/2024,215,124,YES
21003,LU0731783048,01/01/2024,01/04/2024,215,124,YES
17112,LU0114722498,01/08/2023,01/04/2024,368,124,YES
45131,LU0971096721,01/08/2023,01/04/2024,368,124,YES
17113,N/A,01/04/2021,Date not found in the paragraph,1220,N/A,YES
12051,LU0114720955,01/08/2023,01/04/2024,368,124,YES
13206,LU0114722902,01/01/2024,01/04/2024,215,124,YES
13207,LU0353648891,01/08/2023,01/04/2024,368,124,YES
33845,LU0353649279,01/08/2023,01/04/2024,368,124,YES
13208,LU0099575291,01/08/2023,01/06/2024,368,63,YES
45727,LU0905233846,01/08/2023,01/04/2024,368,124,YES
45822,LU0905234497,01/08/2023,01/04/2024,368,124,YES
45774,LU0905234141,01/08/2023,01/04/2024,368,124,YES
45737,LU0905234067,01/08/2023,01/04/2024,368,124,YES
9118,LU0237698757,01/08/2022,31/08/2022,733,703,NO
8353,LU0237698245,01/08/2022,31/08/2022,733,703,NO
33846,N/A,01/08/2022,Date not found in the paragraph,733,N/A,NO
9120,LU0237698914,01/08/2022,31/08/2022,733,703,NO
68516,LU1235294995,01/01/2024,01/04/2024,215,124,YES
8354,LU0099574567,01/01/2024,01/04/2024,215,124,YES
8355,LU0048580855,01/08/2023,01/04/2024,368,124,YES
